overall_rank,source,rank,HL,Ls,Lswb,Lforward,total_reward,avg_forward_velocity,avg_lateral_offset,alive_time
1,dynamic,1,22,45,40,10,15.7489,0.309949,0.001225,1.32
2,dynamic,2,20,44,37,6,15.5477,0.299273,0.001037,1.34
3,uniform,1,20,52,40,18,15.3382,0.319155,0.001024,1.26
4,uniform,2,20,48,37,12,14.8998,0.305157,0.00095,1.28
5,dynamic,3,37,45,40,37,14.7156,0.329258,0.002003,1.2
6,dynamic,4,20,53,39,15,14.7039,0.307873,0.001174,1.26
7,dynamic,5,20,59,39,13,14.487,0.303518,0.002005,1.26
8,uniform,3,24,48,23,40,14.3724,0.329069,0.002023,1.18
9,uniform,4,25,41,35,6,14.0297,0.301444,0.010418,1.36
10,uniform,5,47,41,33,39,13.9591,0.322042,0.002016,1.18
